country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,Wallonia,Luxembourg,1981.0,,3.0,1.0,2020-09-13
BE,MISSING,MISSING,2401.0,,,,2020-09-13
BE,Wallonia,BrabantWallon,2456.0,,0.0,0.0,2020-09-13
BE,Wallonia,Namur,3340.0,,4.0,2.0,2020-09-13
BE,Flanders,VlaamsBrabant,7775.0,,8.0,3.0,2020-09-13
BE,Flanders,Limburg,8279.0,,6.0,0.0,2020-09-13
BE,Flanders,WestVlaanderen,8930.0,,18.0,1.0,2020-09-13
BE,Wallonia,Hainaut,9624.0,,25.0,6.0,2020-09-13
BE,Flanders,OostVlaanderen,9717.0,,29.0,5.0,2020-09-13
BE,Wallonia,Liège,10251.0,,33.0,9.0,2020-09-13
BE,Brussels,Brussels,12872.0,,94.0,24.0,2020-09-13
BE,Flanders,Antwerpen,17558.0,,73.0,20.0,2020-09-13
