country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,1016.0,,,,2020-04-25
BE,Wallonia,Luxembourg,1241.0,,69.0,13.0,2020-04-25
BE,Wallonia,BrabantWallon,1246.0,,37.0,10.0,2020-04-25
BE,Wallonia,Namur,1776.0,,142.0,35.0,2020-04-25
BE,Flanders,VlaamsBrabant,4544.0,,200.0,50.0,2020-04-25
BE,Brussels,Brussels,4916.0,,667.0,158.0,2020-04-25
BE,Flanders,WestVlaanderen,5131.0,,480.0,86.0,2020-04-25
BE,Flanders,Limburg,5225.0,,311.0,76.0,2020-04-25
BE,Wallonia,Hainaut,5445.0,,583.0,94.0,2020-04-25
BE,Flanders,OostVlaanderen,5468.0,,463.0,124.0,2020-04-25
BE,Flanders,Antwerpen,5782.0,,621.0,154.0,2020-04-25
BE,Wallonia,Liège,5955.0,,384.0,101.0,2020-04-25
BE,Flanders,,,2033.0,,,2020-04-25
