country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,10354.0,,,,2020-12-21
BE,Wallonia,Luxembourg,17934.0,,71.0,10.0,2020-12-21
BE,Wallonia,BrabantWallon,24643.0,,22.0,3.0,2020-12-21
BE,Flanders,Limburg,27939.0,,114.0,25.0,2020-12-21
BE,Wallonia,Namur,34721.0,,104.0,33.0,2020-12-21
BE,Flanders,VlaamsBrabant,47975.0,,113.0,28.0,2020-12-21
BE,Flanders,WestVlaanderen,51872.0,,414.0,68.0,2020-12-21
BE,Flanders,OostVlaanderen,62383.0,,412.0,73.0,2020-12-21
BE,Flanders,Antwerpen,76754.0,,463.0,89.0,2020-12-21
BE,Brussels,Brussels,80252.0,,325.0,85.0,2020-12-21
BE,Wallonia,Liège,95598.0,,222.0,51.0,2020-12-21
BE,Wallonia,Hainaut,100323.0,,350.0,81.0,2020-12-21
