country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,584.0,15.0,,,,2020-12-09
CH,Uri,UR,1043.0,29.0,,6.0,,2020-12-09
CH,Nidwalden,NW,1073.0,10.0,,7.0,1.0,2020-12-09
CH,Glarus,GL,1132.0,24.0,,13.0,,2020-12-09
CH,Obwalden,OW,1135.0,26.0,,4.0,,2020-12-09
CH,Appenzell Ausserrhoden,AR,1894.0,30.0,,18.0,3.0,2020-12-09
CH,Schaffhausen,SH,2219.0,40.0,,24.0,3.0,2020-12-09
CH,Zug,ZG,3799.0,43.0,,17.0,4.0,2020-12-09
CH,Jura,JU,3919.0,98.0,,17.0,2.0,2020-12-09
CH,Schwyz,SZ,5681.0,110.0,,,,2020-12-09
CH,Grisons,GR,6098.0,110.0,,37.0,9.0,2020-12-09
CH,Basel-Stadt,BS,6276.0,98.0,,133.0,18.0,2020-12-09
CH,Solothurn,SO,7554.0,107.0,,59.0,12.0,2020-12-09
CH,Basel-Landschaft,BL,7991.0,93.0,,54.0,7.0,2020-12-09
CH,Thurgau,TG,8501.0,131.0,,65.0,23.0,2020-12-09
CH,Neuchâtel,NE,10420.0,276.0,,95.0,8.0,2020-12-09
CH,Lucerne,LU,12204.0,,,84.0,,2020-12-09
CH,Ticino,TI,17841.0,608.0,,310.0,40.0,2020-12-09
CH,Aargau,AG,20600.0,250.0,,145.0,28.0,2020-12-09
CH,St. Gallen,SG,21082.0,336.0,,151.0,31.0,2020-12-09
CH,Fribourg,FR,21507.0,371.0,,74.0,16.0,2020-12-09
CH,Valais,VS,23622.0,544.0,,109.0,19.0,2020-12-09
CH,Berne,BE,32780.0,469.0,,249.0,59.0,2020-12-09
CH,Geneva,GE,37918.0,604.0,,198.0,19.0,2020-12-09
CH,Vaud,VD,51561.0,705.0,,360.0,66.0,2020-12-09
CH,Zürich,ZH,52050.0,545.0,,394.0,84.0,2020-12-09
CH,,,360484.0,5810.0,237692.0,2637.0,468.0,2020-12-09
