country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,8629,7989,156,108235,70,8,2020-12-19T15:00:00
AT,Vorarlberg,17947,16453,195,202797,115,18,2020-12-19T15:00:00
AT,Kärnten,19332,16921,432,165592,271,19,2020-12-19T15:00:00
AT,Salzburg,25731,22276,283,204187,187,27,2020-12-19T15:00:00
AT,Tirol,38055,36014,437,439776,235,51,2020-12-19T15:00:00
AT,Steiermark,39103,30191,936,368662,531,76,2020-12-19T15:00:00
AT,Niederösterreich,49406,44049,732,631051,418,74,2020-12-19T15:00:00
AT,Oberösterreich,67739,61832,1027,439764,657,103,2020-12-19T15:00:00
AT,Wien,68674,61699,929,974422,589,119,2020-12-19T15:00:00
AT,,334616,297424,5127,3534486,3073,495,2020-12-19T15:00:00
